state,year,refugees
Illinois,2001,66
Illinois,2002,75
Illinois,2003,66
Illinois,2004,20
Illinois,2005,10
Illinois,2006,1
Illinois,2007,5
Illinois,2008,5
Illinois,2009,
Illinois,2010,3
Illinois,2011,7
Illinois,2012,30
Illinois,2013,11
Illinois,2014,43
Illinois,2015,48
Illinois,2016,123
Illinois,2017,33
Illinois,2018,27
Indiana,1980,
Indiana,1981,14
Indiana,1982,1
Indiana,1983,20
Indiana,1984,4
Indiana,1985,8
Indiana,1986,17
Indiana,1987,
Indiana,1988,7
Indiana,1989,6
Indiana,1990,
Indiana,1991,
Indiana,1992,6
Indiana,1993,7
Indiana,1994,
Indiana,1995,
Indiana,1996,
Indiana,1997,
Indiana,1998,1
Indiana,1999,7
Indiana,2000,19
Indiana,2001,43
Indiana,2002,26
Indiana,2003,32
Indiana,2004,5
Indiana,2005,8
Indiana,2006,1
Indiana,2007,
Indiana,2008,
Indiana,2009,1
Indiana,2010,4
Indiana,2011,6
Indiana,2012,3
Indiana,2013,
Indiana,2014,12
Indiana,2015,
Indiana,2016,6
Indiana,2017,11
Indiana,2018,
Iowa,1980,
Iowa,1981,3
Iowa,1982,
Iowa,1983,
Iowa,1984,3
Iowa,1985,
Iowa,1986,
Iowa,1987,
Iowa,1988,
Iowa,1989,
Iowa,1990,
Iowa,1991,
Iowa,1992,
Iowa,1993,
Iowa,1994,
Iowa,1995,
Iowa,1996,
Iowa,1997,
Iowa,1998,
Iowa,1999,6
Iowa,2000,5
Iowa,2001,19
Iowa,2002,45
Iowa,2003,
Iowa,2004,11
Iowa,2005,13
Iowa,2006,16
Iowa,2007,1
Iowa,2008,
Iowa,2009,
Iowa,2010,
Iowa,2011,
Iowa,2012,
Iowa,2013,
Iowa,2014,
Iowa,2015,
Iowa,2016,
Iowa,2017,7
Iowa,2018,
Kansas,1980,
Kansas,1981,16
Kansas,1982,
Kansas,1983,36
Kansas,1984,4
Kansas,1985,4
Kansas,1986,13
Kansas,1987,16
Kansas,1988,
Kansas,1989,9
Kansas,1990,9
Kansas,1991,
Kansas,1992,
Kansas,1993,
Kansas,1994,
Kansas,1995,
Kansas,1996,
Kansas,1997,
Kansas,1998,
Kansas,1999,8
Kansas,2000,11
Kansas,2001,11
Kansas,2002,24
Kansas,2003,6
Kansas,2004,
Kansas,2005,3
Kansas,2006,
Kansas,2007,
Kansas,2008,
Kansas,2009,
Kansas,2010,
Kansas,2011,
Kansas,2012,
Kansas,2013,
Kansas,2014,
Kansas,2015,6
Kansas,2016,20
Kansas,2017,
Kansas,2018,10
Kentucky,1980,
Kentucky,1981,
Kentucky,1982,
Kentucky,1983,8
Kentucky,1984,13
Kentucky,1985,4
Kentucky,1986,4
Kentucky,1987,3
Kentucky,1988,3
Kentucky,1989,
Kentucky,1990,
Kentucky,1991,
Kentucky,1992,
Kentucky,1993,
Kentucky,1994,
Kentucky,1995,
Kentucky,1996,
Kentucky,1997,
Kentucky,1998,2
Kentucky,1999,5
Kentucky,2000,
Kentucky,2001,12
Kentucky,2002,25
Kentucky,2003,12
Kentucky,2004,4
Kentucky,2005,6
Kentucky,2006,13
Kentucky,2007,
Kentucky,2008,
Kentucky,2009,
Kentucky,2010,5
Kentucky,2011,11
Kentucky,2012,23
Kentucky,2013,27
Kentucky,2014,5
Kentucky,2015,14
Kentucky,2016,32
Kentucky,2017,1
Kentucky,2018,
Louisiana,1980,
Louisiana,1981,
Louisiana,1982,
Louisiana,1983,6
Louisiana,1984,15
Louisiana,1985,11
Louisiana,1986,2
Louisiana,1987,
Louisiana,1988,
Louisiana,1989,
Louisiana,1990,
Louisiana,1991,
Louisiana,1992,
Louisiana,1993,
Louisiana,1994,
Louisiana,1995,
Louisiana,1996,
Louisiana,1997,
Louisiana,1998,6
Louisiana,1999,12
Louisiana,2000,
Louisiana,2001,47
Louisiana,2002,25
Louisiana,2003,25
Louisiana,2004,38
Louisiana,2005,7
Louisiana,2006,1
Louisiana,2007,
Louisiana,2008,1
Louisiana,2009,
Louisiana,2010,15
Louisiana,2011,
Louisiana,2012,2
Louisiana,2013,
Louisiana,2014,9
Louisiana,2015,6
Louisiana,2016,13
Louisiana,2017,
Louisiana,2018,
Maine,1980,
Maine,1981,
Maine,1982,15
Maine,1983,77
Maine,1984,43
Maine,1985,32
Maine,1986,12
Maine,1987,28
Maine,1988,13
Maine,1989,22
Maine,1990,2
Maine,1991,14
Maine,1992,31
Maine,1993,21
Maine,1994,
Maine,1995,
Maine,1996,
Maine,1997,
Maine,1998,3
Maine,1999,
Maine,2000,8
Maine,2001,7
Maine,2002,4
Maine,2003,
Maine,2004,1
Maine,2005,
Maine,2006,
Maine,2007,
Maine,2008,
Maine,2009,
Maine,2010,3
Maine,2011,
Maine,2012,3
Maine,2013,12
Maine,2014,2
Maine,2015,3
Maine,2016,28
Maine,2017,
Maine,2018,
Maryland,1980,
Maryland,1981,20
Maryland,1982,6
Maryland,1983,46
Maryland,1984,47
Maryland,1985,76
Maryland,1986,70
Maryland,1987,73
Maryland,1988,46
Maryland,1989,22
Maryland,1990,5
Maryland,1991,9
Maryland,1992,21
Maryland,1993,6
Maryland,1994,
Maryland,1995,
Maryland,1996,
Maryland,1997,
Maryland,1998,
Maryland,1999,6
Maryland,2000,10
Maryland,2001,16
Maryland,2002,20
Maryland,2003,18
Maryland,2004,15
Maryland,2005,3
Maryland,2006,10
Maryland,2007,4
Maryland,2008,3
Maryland,2009,
Maryland,2010,6
Maryland,2011,
Maryland,2012,1
Maryland,2013,7
Maryland,2014,9
Maryland,2015,19
Maryland,2016,55
Maryland,2017,26
Maryland,2018,17
Massachusetts,1980,
Massachusetts,1981,5
Massachusetts,1982,1
Massachusetts,1983,8
Massachusetts,1984,16
Massachusetts,1985,16
Massachusetts,1986,12
Massachusetts,1987,15
Massachusetts,1988,12
Massachusetts,1989,16
Massachusetts,1990,
Massachusetts,1991,1
Massachusetts,1992,11
Massachusetts,1993,4
Massachusetts,1994,
Massachusetts,1995,
Massachusetts,1996,
Massachusetts,1997,
Massachusetts,1998,
Massachusetts,1999,12
Massachusetts,2000,117
Massachusetts,2001,94
Massachusetts,2002,60
Massachusetts,2003,50
Massachusetts,2004,58
Massachusetts,2005,10
Massachusetts,2006,9
Massachusetts,2007,
Massachusetts,2008,4
Massachusetts,2009,5
Massachusetts,2010,14
Massachusetts,2011,2
Massachusetts,2012,6
Massachusetts,2013,6
Massachusetts,2014,18
Massachusetts,2015,32
Massachusetts,2016,33
Massachusetts,2017,10
Massachusetts,2018,16
Michigan,1980,
Michigan,1981,14
Michigan,1982,
Michigan,1983,10
Michigan,1984,9
Michigan,1985,9
Michigan,1986,9
Michigan,1987,3
Michigan,1988,9
Michigan,1989,
Michigan,1990,
Michigan,1991,
Michigan,1992,2
Michigan,1993,6
Michigan,1994,
Michigan,1995,
Michigan,1996,
Michigan,1997,
Michigan,1998,9
Michigan,1999,1
Michigan,2000,28
Michigan,2001,119
Michigan,2002,49
Michigan,2003,34
Michigan,2004,40
Michigan,2005,26
Michigan,2006,15
Michigan,2007,5
Michigan,2008,8
Michigan,2009,1
Michigan,2010,9
Michigan,2011,2
Michigan,2012,2
Michigan,2013,11
Michigan,2014,6
Michigan,2015,61
Michigan,2016,207
Michigan,2017,36
Michigan,2018,40
Minnesota,1980,
Minnesota,1981,28
Minnesota,1982,9
Minnesota,1983,11
Minnesota,1984,33
Minnesota,1985,20
Minnesota,1986,25
Minnesota,1987,25
Minnesota,1988,19
Minnesota,1989,11
Minnesota,1990,5
Minnesota,1991,16
Minnesota,1992,
Minnesota,1993,
Minnesota,1994,
Minnesota,1995,
Minnesota,1996,
Minnesota,1997,
Minnesota,1998,
Minnesota,1999,
Minnesota,2000,5
Minnesota,2001,
Minnesota,2002,2
Minnesota,2003,1
Minnesota,2004,
Minnesota,2005,
Minnesota,2006,
Minnesota,2007,6
Minnesota,2008,
Minnesota,2009,
Minnesota,2010,1
Minnesota,2011,
Minnesota,2012,
Minnesota,2013,
Minnesota,2014,
Minnesota,2015,
Minnesota,2016,3
Minnesota,2017,
Minnesota,2018,
Mississippi,1980,
Mississippi,1981,8
Mississippi,1982,5
Mississippi,1983,
Mississippi,1984,
Mississippi,1985,
Mississippi,1986,
Mississippi,1987,
Mississippi,1988,
Mississippi,1989,
Mississippi,1990,
Mississippi,1991,
Mississippi,1992,
Mississippi,1993,
Mississippi,1994,
Mississippi,1995,
Mississippi,1996,
Mississippi,1997,
Mississippi,1998,
Mississippi,1999,
Mississippi,2000,
Mississippi,2001,8
Mississippi,2002,
Mississippi,2003,
Mississippi,2004,
Mississippi,2005,
Mississippi,2006,
Mississippi,2007,
Mississippi,2008,
Mississippi,2009,8
Mississippi,2010,
Mississippi,2011,
Mississippi,2012,3
Mississippi,2013,
Mississippi,2014,
Mississippi,2015,6
Mississippi,2016,5
Mississippi,2017,
Mississippi,2018,
Missouri,1980,
Missouri,1981,6
Missouri,1982,1
Missouri,1983,32
Missouri,1984,16
Missouri,1985,21
Missouri,1986,23
Missouri,1987,1
Missouri,1988,12
Missouri,1989,11
Missouri,1990,
Missouri,1991,28
Missouri,1992,26
Missouri,1993,15
Missouri,1994,
Missouri,1995,
Missouri,1996,
Missouri,1997,
Missouri,1998,6
Missouri,1999,78
Missouri,2000,165
Missouri,2001,176
Missouri,2002,137
Missouri,2003,62
Missouri,2004,54
Missouri,2005,62
Missouri,2006,48
Missouri,2007,12
Missouri,2008,10
Missouri,2009,2
Missouri,2010,9
Missouri,2011,2
Missouri,2012,4
Missouri,2013,6
Missouri,2014,20
Missouri,2015,9
Missouri,2016,85
Missouri,2017,20
Missouri,2018,11
Nebraska,1980,
Nebraska,1981,43
Nebraska,1982,
Nebraska,1983,48
Nebraska,1984,43
Nebraska,1985,29
Nebraska,1986,17
Nebraska,1987,9
Nebraska,1988,17
Nebraska,1989,26
Nebraska,1990,
Nebraska,1991,10
Nebraska,1992,16
Nebraska,1993,17
Nebraska,1994,
Nebraska,1995,
Nebraska,1996,
Nebraska,1997,
Nebraska,1998,
Nebraska,1999,10
Nebraska,2000,42
Nebraska,2001,89
Nebraska,2002,13
Nebraska,2003,7
Nebraska,2004,8
Nebraska,2005,
Nebraska,2006,1
Nebraska,2007,
Nebraska,2008,
Nebraska,2009,
Nebraska,2010,
Nebraska,2011,
Nebraska,2012,
Nebraska,2013,
Nebraska,2014,
Nebraska,2015,
Nebraska,2016,17
Nebraska,2017,
Nebraska,2018,10
Nevada,1980,
Nevada,1981,1
Nevada,1982,1
Nevada,1983,24
Nevada,1984,24
Nevada,1985,4
Nevada,1986,15
Nevada,1987,21
Nevada,1988,13
Nevada,1989,18
Nevada,1990,11
Nevada,1991,7
Nevada,1992,
Nevada,1993,3
Nevada,1994,
Nevada,1995,
Nevada,1996,
Nevada,1997,
Nevada,1998,1
Nevada,1999,
Nevada,2000,13
Nevada,2001,20
Nevada,2002,
Nevada,2003,13
Nevada,2004,1
Nevada,2005,
Nevada,2006,3
Nevada,2007,3
Nevada,2008,3
Nevada,2009,9
Nevada,2010,
Nevada,2011,
Nevada,2012,
Nevada,2013,1
Nevada,2014,
Nevada,2015,19
Nevada,2016,26
Nevada,2017,26
Nevada,2018,18
New Hampshire,1980,
New Hampshire,1981,
New Hampshire,1982,
New Hampshire,1983,
New Hampshire,1984,
New Hampshire,1985,10
New Hampshire,1986,
New Hampshire,1987,
New Hampshire,1988,
New Hampshire,1989,
New Hampshire,1990,
New Hampshire,1991,
New Hampshire,1992,
New Hampshire,1993,
New Hampshire,1994,
New Hampshire,1995,
New Hampshire,1996,
New Hampshire,1997,
New Hampshire,1998,
New Hampshire,1999,4
New Hampshire,2000,
New Hampshire,2001,19
New Hampshire,2002,19
New Hampshire,2003,37
New Hampshire,2004,9
New Hampshire,2005,9
New Hampshire,2006,
New Hampshire,2007,3
New Hampshire,2008,
New Hampshire,2009,
New Hampshire,2010,1
New Hampshire,2011,
New Hampshire,2012,
New Hampshire,2013,
New Hampshire,2014,
New Hampshire,2015,
New Hampshire,2016,5
New Hampshire,2017,
New Hampshire,2018,
New Jersey,1980,
New Jersey,1981,39
New Jersey,1982,12
New Jersey,1983,69
New Jersey,1984,65
New Jersey,1985,62
New Jersey,1986,64
New Jersey,1987,96
New Jersey,1988,44
New Jersey,1989,47
New Jersey,1990,12
New Jersey,1991,5
New Jersey,1992,22
New Jersey,1993,8
New Jersey,1994,
New Jersey,1995,
New Jersey,1996,
New Jersey,1997,
New Jersey,1998,
New Jersey,1999,26
New Jersey,2000,23
New Jersey,2001,32
New Jersey,2002,22
New Jersey,2003,21
New Jersey,2004,8
New Jersey,2005,1
New Jersey,2006,
New Jersey,2007,
New Jersey,2008,11
New Jersey,2009,
New Jersey,2010,2
New Jersey,2011,5
New Jersey,2012,
New Jersey,2013,5
New Jersey,2014,
New Jersey,2015,9
New Jersey,2016,22
New Jersey,2017,6
New Jersey,2018,
New Mexico,1980,
New Mexico,1981,7
New Mexico,1982,
New Mexico,1983,10
New Mexico,1984,1
New Mexico,1985,9
New Mexico,1986,10
New Mexico,1987,13
New Mexico,1988,9
New Mexico,1989,
New Mexico,1990,
New Mexico,1991,
New Mexico,1992,2
New Mexico,1993,
New Mexico,1994,
New Mexico,1995,
New Mexico,1996,
New Mexico,1997,
New Mexico,1998,
New Mexico,1999,10
New Mexico,2000,5
New Mexico,2001,27
New Mexico,2002,24
New Mexico,2003,1
New Mexico,2004,2
New Mexico,2005,
New Mexico,2006,1
New Mexico,2007,
New Mexico,2008,
New Mexico,2009,
New Mexico,2010,
New Mexico,2011,7
New Mexico,2012,6
New Mexico,2013,31
New Mexico,2014,4
New Mexico,2015,70
New Mexico,2016,71
New Mexico,2017,
New Mexico,2018,15
New York,1980,21
New York,1981,401
New York,1982,51
New York,1983,495
New York,1984,456
New York,1985,402
New York,1986,456
New York,1987,412
New York,1988,473
New York,1989,240
New York,1990,10
New York,1991,119
New York,1992,208
New York,1993,79
New York,1994,6
New York,1995,2
New York,1996,2
New York,1997,
New York,1998,
New York,1999,19
New York,2000,139
New York,2001,75
New York,2002,90
New York,2003,61
New York,2004,47
New York,2005,50
New York,2006,78
New York,2007,20
New York,2008,59
New York,2009,15
New York,2010,21
New York,2011,12
New York,2012,46
New York,2013,57
New York,2014,79
New York,2015,78
New York,2016,338
New York,2017,76
New York,2018,55
North Carolina,1980,
North Carolina,1981,32
North Carolina,1982,
North Carolina,1983,17
North Carolina,1984,15
North Carolina,1985,8
North Carolina,1986,17
North Carolina,1987,26
North Carolina,1988,2
North Carolina,1989,10
North Carolina,1990,
North Carolina,1991,
North Carolina,1992,11
North Carolina,1993,4
North Carolina,1994,
North Carolina,1995,
North Carolina,1996,
North Carolina,1997,
North Carolina,1998,
North Carolina,1999,
North Carolina,2000,5
North Carolina,2001,3
North Carolina,2002,
North Carolina,2003,1
North Carolina,2004,
North Carolina,2005,
North Carolina,2006,
North Carolina,2007,
North Carolina,2008,15
North Carolina,2009,2
North Carolina,2010,4
North Carolina,2011,15
North Carolina,2012,26
North Carolina,2013,14
North Carolina,2014,29
North Carolina,2015,46
North Carolina,2016,142
North Carolina,2017,36
North Carolina,2018,18
North Dakota,1980,
North Dakota,1981,8
North Dakota,1982,
North Dakota,1983,
North Dakota,1984,
North Dakota,1985,
North Dakota,1986,
North Dakota,1987,
North Dakota,1988,
North Dakota,1989,
North Dakota,1990,
North Dakota,1991,16
North Dakota,1992,11
North Dakota,1993,
North Dakota,1994,
North Dakota,1995,
North Dakota,1996,
North Dakota,1997,
North Dakota,1998,4
North Dakota,1999,23
North Dakota,2000,5
North Dakota,2001,
North Dakota,2002,5
North Dakota,2003,
North Dakota,2004,2
North Dakota,2005,
North Dakota,2006,
North Dakota,2007,
North Dakota,2008,
North Dakota,2009,6
North Dakota,2010,
North Dakota,2011,5
North Dakota,2012,
North Dakota,2013,
North Dakota,2014,7
North Dakota,2015,2
North Dakota,2016,8
North Dakota,2017,
North Dakota,2018,10
Ohio,1980,
Ohio,1981,32
Ohio,1982,
Ohio,1983,4
Ohio,1984,8
Ohio,1985,2
Ohio,1986,18
Ohio,1987,5
Ohio,1988,9
Ohio,1989,2
Ohio,1990,
Ohio,1991,
Ohio,1992,9
Ohio,1993,5
Ohio,1994,
Ohio,1995,
Ohio,1996,
Ohio,1997,
Ohio,1998,
Ohio,1999,
Ohio,2000,
Ohio,2001,23
Ohio,2002,41
Ohio,2003,10
Ohio,2004,1
Ohio,2005,2
Ohio,2006,6
Ohio,2007,15
Ohio,2008,
Ohio,2009,1
Ohio,2010,2
Ohio,2011,16
Ohio,2012,7
Ohio,2013,3
Ohio,2014,9
Ohio,2015,39
Ohio,2016,147
Ohio,2017,21
Ohio,2018,25
Oklahoma,1980,
Oklahoma,1981,3
Oklahoma,1982,
Oklahoma,1983,3
Oklahoma,1984,10
Oklahoma,1985,2
Oklahoma,1986,8
Oklahoma,1987,5
Oklahoma,1988,4
Oklahoma,1989,
Oklahoma,1990,
Oklahoma,1991,
Oklahoma,1992,1
Oklahoma,1993,
Oklahoma,1994,
Oklahoma,1995,
Oklahoma,1996,
Oklahoma,1997,
Oklahoma,1998,
Oklahoma,1999,
Oklahoma,2000,
Oklahoma,2001,5
Oklahoma,2002,2
Oklahoma,2003,13
Oklahoma,2004,1
Oklahoma,2005,
Oklahoma,2006,
Oklahoma,2007,2
Oklahoma,2008,7
Oklahoma,2009,4
Oklahoma,2010,
Oklahoma,2011,
Oklahoma,2012,
Oklahoma,2013,10
Oklahoma,2014,
Oklahoma,2015,
Oklahoma,2016,
Oklahoma,2017,
Oklahoma,2018,
Oregon,1980,3
Oregon,1981,27
Oregon,1982,
Oregon,1983,15
Oregon,1984,16
Oregon,1985,22
Oregon,1986,6
Oregon,1987,6
Oregon,1988,13
Oregon,1989,23
Oregon,1990,
Oregon,1991,9
Oregon,1992,65
Oregon,1993,3
Oregon,1994,
Oregon,1995,
Oregon,1996,
Oregon,1997,
Oregon,1998,4
Oregon,1999,8
Oregon,2000,35
